Date,Close Price,Volume
2019-02-07,3660.03,89444.22
2019-02-08,3652.26,25880.75
2019-02-09,3685.14,30046.26
2019-02-10,3611.34,40461.58
2019-02-11,3617.41,45717.05
2019-02-12,3605.87,40664.15
2019-02-13,3588.72,32779.35
2019-02-14,3593.49,36251.38
2019-02-15,3617.24,24003.59
2019-02-16,3670.92,36849.32
2019-02-17,3912.57,98728.99
2019-02-18,3924.24,74127.62
2019-02-19,3974.05,53048.95
2019-02-20,3937.04,47433.87
2019-02-21,3983.53,43006.55
2019-02-22,4149.09,57002.5
2019-02-23,3771.62,80391.72
2019-02-24,3845.51,48406.42
2019-02-25,3817.88,33253.08
2019-02-26,3830.72,46011.1
2019-02-27,3823.37,44353.45
2019-02-28,3831.48,26522.34
2019-03-01,3842.94,19283.71
2019-03-02,3812.31,16769.86
2019-03-03,3731.28,39278.22
2019-03-04,3874.18,43262.3
2019-03-05,3874.98,33536.95
2019-03-06,3882.61,37619.38
2019-03-07,3868.02,39428.25
2019-03-08,3947.74,27600.01
2019-03-09,3929.84,17404.16
2019-03-10,3874.89,32708.55
2019-03-11,3888.57,33655.37
2019-03-12,3878.44,27922.69
2019-03-13,3881.44,34554.38
2019-03-14,3927.08,32133.02
2019-03-15,4027.01,41319.81
2019-03-16,3998.0,17033.6
2019-03-17,3988.85,27416.92
2019-03-18,4024.14,29686.2
2019-03-19,4056.75,36862.09
2019-03-20,3996.93,44251.52
2019-03-21,4000.84,22671.75
2019-03-22,4007.21,18486.22
2019-03-23,3994.11,16111.98
2019-03-24,3924.55,34191.84
2019-03-25,3942.22,23873.14
2019-03-26,4045.98,37132.4
2019-03-27,4036.45,25343.13
2019-03-28,4111.38,41843.31
2019-03-29,4118.13,24906.26
2019-03-30,4112.69,13792.73
2019-03-31,4151.32,36921.55
2019-04-01,4906.93,172473.31
2019-04-02,4976.59,159843.43
2019-04-03,4913.36,74544.88
2019-04-04,5047.23,56130.82
2019-04-05,5057.25,54180.91
2019-04-06,5201.16,47200.43
2019-04-07,5294.09,69803.56
2019-04-08,5201.3,48552.25
2019-04-09,5318.6,65813.81
2019-04-10,5048.56,69622.86
2019-04-11,5081.5,43762.94
2019-04-12,5080.66,23342.24
2019-04-13,5165.59,21193.03
2019-04-14,5037.27,40402.46
2019-04-15,5212.81,40370.0
2019-04-16,5236.26,37225.68
2019-04-17,5289.75,35511.12
2019-04-18,5295.53,30109.97
2019-04-19,5326.18,23214.49
2019-04-20,5305.74,25466.81
2019-04-21,5394.67,45346.65
2019-04-22,5539.1,66448.85
2019-04-23,5454.58,61651.16
2019-04-24,5162.67,70755.72
2019-04-25,5234.09,70191.21
2019-04-26,5229.48,21692.98
2019-04-27,5272.45,25294.87
2019-04-28,5237.96,31947.44
2019-04-29,5350.64,32567.46
2019-04-30,5389.54,27410.57
2019-05-01,5500.72,35089.37
2019-05-02,5753.38,75434.86
2019-05-03,5840.08,45628.34
2019-05-04,5794.14,25481.48
2019-05-05,5748.17,34979.71
2019-05-06,5819.57,59556.89
2019-05-07,5998.71,40967.62
2019-05-08,6171.96,51005.27
2019-05-09,6358.29,68160.13
2019-05-10,7191.36,135248.42
2019-05-11,6977.63,142892.25
2019-05-12,7806.36,149082.57
2019-05-13,7980.13,122383.06
2019-05-14,8183.83,86162.62
2019-05-15,7874.11,95341.68
2019-05-16,7371.96,141482.93
2019-05-17,7266.08,41327.89
2019-05-18,8193.14,91218.12
2019-05-19,7998.29,80672.83
2019-05-20,7947.93,45005.01
2019-05-21,7626.89,54216.74
2019-05-22,7876.5,50121.07
2019-05-23,7996.4,51604.15
2019-05-24,8059.13,22294.65
2019-05-25,8726.23,57648.95
2019-05-26,8785.17,57692.17
2019-05-27,8718.85,41445.13
2019-05-28,8664.56,44056.71
2019-05-29,8276.25,95189.06
2019-05-30,8550.67,60143.23
2019-05-31,8555.87,26884.15
2019-06-01,8737.91,25506.14
2019-06-02,8114.49,63486.15
2019-06-03,7677.47,103552.9
2019-06-04,7791.29,49771.65
2019-06-05,7807.36,44397.47
2019-06-06,8002.63,51105.14
2019-06-07,7933.78,23469.94
2019-06-08,7643.44,30301.73
2019-06-09,8021.0,43154.98
2019-06-10,7917.32,35850.45
2019-06-11,8174.14,49460.34
2019-06-12,8235.57,38536.25
2019-06-13,8693.96,50383.98
2019-06-14,8853.56,38140.15
2019-06-15,8979.18,84289.2
2019-06-16,9336.01,65486.04
2019-06-17,9081.71,51829.13
2019-06-18,9280.54,32012.68
2019-06-19,9536.85,45144.43
2019-06-20,10218.87,77828.7
2019-06-21,10689.54,115793.98
2019-06-22,10855.99,57082.02
2019-06-23,11035.74,52118.36
2019-06-24,11740.34,84123.73
2019-06-25,12913.28,211449.88
2019-06-26,11154.09,202428.68
2019-06-27,12355.06,120700.97
2019-06-28,11884.1,81875.16
2019-06-29,10769.05,80893.36
2019-06-30,10591.87,115739.97
2019-07-01,10844.13,120994.95
2019-07-02,11981.61,115565.16
2019-07-03,11156.52,71141.03
2019-07-04,10993.25,66066.75
2019-07-05,11248.94,48172.2
2019-07-06,11474.28,36847.21
2019-07-07,12296.16,63847.27
2019-07-08,12567.02,79607.47
2019-07-09,12099.12,124523.09
2019-07-10,11343.12,102929.11
2019-07-11,11797.37,55994.89
2019-07-12,11363.97,59187.84
2019-07-13,10204.41,76310.21
2019-07-14,10850.26,92742.77
2019-07-15,9423.44,113537.84
2019-07-16,9696.15,101032.08
2019-07-17,10638.35,102443.07
2019-07-18,10532.94,62995.33
2019-07-19,10759.42,56766.57
2019-07-20,10586.71,38379.41
2019-07-21,10325.87,50574.02
2019-07-22,9854.15,52754.02
2019-07-23,9772.14,54750.78
2019-07-24,9882.43,40285.56
2019-07-25,9847.45,31960.31
2019-07-26,9478.32,53081.42
2019-07-27,9531.77,28313.55
2019-07-28,9506.93,31434.4
2019-07-29,9595.52,28856.19
2019-07-30,10089.25,42030.01
2019-07-31,10409.79,43505.11
2019-08-01,10528.99,44213.09
2019-08-02,10820.41,34102.93
2019-08-03,10978.91,39795.33
2019-08-04,11807.96,74748.53
2019-08-05,11467.1,80694.71
2019-08-06,11974.28,70893.9
2019-08-07,11982.8,49871.24
2019-08-08,11865.21,39230.82
2019-08-09,11293.59,40869.27
2019-08-10,11549.06,25734.51
2019-08-11,11387.41,20181.72
2019-08-12,10872.0,43742.98
2019-08-13,10031.89,70125.86
2019-08-14,10308.51,84438.15
2019-08-15,10360.43,62357.48
2019-08-16,10220.75,24470.79
2019-08-17,10326.25,21614.15
2019-08-18,10922.16,39936.81
2019-08-19,10770.76,30891.56
2019-08-20,10131.67,57446.51
2019-08-21,10104.11,38005.1
2019-08-22,10410.49,31466.97
2019-08-23,10150.07,28068.47
2019-08-24,10141.75,25686.72
2019-08-25,10364.91,42155.28
2019-08-26,10175.47,26481.68
2019-08-27,9722.83,49145.33
2019-08-28,9492.81,42711.51
2019-08-29,9587.25,28941.49
2019-08-30,9624.54,15427.47
2019-08-31,9768.36,15485.86
2019-09-01,10387.5,42504.5
2019-09-02,10625.1,52101.71
2019-09-03,10585.2,41229.09
2019-09-04,10556.16,23957.29
2019-09-05,10309.91,54409.77
2019-09-06,10491.96,18864.32
2019-09-07,10420.88,18990.22
2019-09-08,10314.88,33044.44
2019-09-09,10109.46,26197.16
2019-09-10,10165.01,28189.47
2019-09-11,10428.96,26821.06
2019-09-12,10372.29,24372.25
2019-09-13,10365.56,15570.76
2019-09-14,10313.02,11651.76
2019-09-15,10271.79,27381.87
2019-09-16,10198.62,21680.68
2019-09-17,10163.38,21739.97
2019-09-18,10281.03,45685.81
2019-09-19,10176.38,20930.03
2019-09-20,9988.38,17868.39
2019-09-21,10036.98,17799.44
2019-09-22,9694.6,33287.92
2019-09-23,8542.54,121811.28
2019-09-24,8446.97,74724.79
2019-09-25,8074.99,80375.17
2019-09-26,8201.36,48376.65
2019-09-27,8223.65,29802.19
2019-09-28,8065.26,28053.51
2019-09-29,8314.62,50440.1
2019-09-30,8326.64,42368.0
2019-10-01,8391.52,24785.21
2019-10-02,8246.3,30435.91
2019-10-03,8168.05,26268.19
2019-10-04,8172.48,17371.63
2019-10-05,7868.31,30026.91
2019-10-06,8215.11,39653.14
2019-10-07,8191.87,21060.16
2019-10-08,8593.16,47097.59
2019-10-09,8596.57,29187.08
2019-10-10,8278.05,38612.05
2019-10-11,8316.66,11037.58
2019-10-12,8296.34,20190.99
2019-10-13,8363.94,17507.78
2019-10-14,8173.48,24899.11
2019-10-15,8014.39,34102.92
2019-10-16,8082.46,21657.02
2019-10-17,7972.62,27732.54
2019-10-18,7973.63,17875.39
2019-10-19,8247.25,25287.68
2019-10-20,8223.25,22831.65
2019-10-21,8034.5,24453.79
2019-10-22,7479.54,60122.39
2019-10-23,7444.2,28580.18
2019-10-24,8671.1,79777.72
2019-10-25,9258.98,154648.62
2019-10-26,9550.6,64673.13
2019-10-27,9222.23,54907.49
2019-10-28,9432.86,40284.46
2019-10-29,9169.86,34376.01
2019-10-30,9157.52,35891.86
2019-10-31,9260.59,27365.39
2019-11-01,9311.99,17135.45
2019-11-02,9221.61,15670.3
2019-11-03,9421.54,29435.09
2019-11-04,9323.61,24971.55
2019-11-05,9347.27,22338.76
2019-11-06,9208.52,21322.07
2019-11-07,8772.31,41674.91
2019-11-08,8822.19,13145.33
2019-11-09,9045.85,18134.09
2019-11-10,8726.31,25750.4
2019-11-11,8815.14,22305.54
2019-11-12,8773.82,15828.57
2019-11-13,8640.42,18999.7
2019-11-14,8468.57,31281.14
2019-11-15,8498.94,9355.13
2019-11-16,8515.28,14296.75
2019-11-17,8190.16,30048.32
2019-11-18,8133.57,24402.6
2019-11-19,8093.6,18105.11
2019-11-20,7632.59,45760.44
2019-11-21,7292.2,94065.31
2019-11-22,7339.24,25474.86
2019-11-23,6930.09,35108.24
2019-11-24,7138.23,85742.76
2019-11-25,7170.11,36264.64
2019-11-26,7531.5,66406.48
2019-11-27,7442.33,29886.7
2019-11-28,7769.38,37243.54
2019-11-29,7571.77,24778.5
2019-11-30,7420.53,30676.77
2019-12-01,7320.94,25163.31
2019-12-02,7313.64,18521.73
2019-12-03,7207.78,49046.2
2019-12-04,7406.75,30054.36
2019-12-05,7558.58,28169.83
2019-12-06,7514.86,14093.87
2019-12-07,7539.7,15949.09
2019-12-08,7350.62,35089.72
2019-12-09,7233.84,23348.59
2019-12-10,7212.01,19799.94
2019-12-11,7199.39,28003.83
2019-12-12,7261.72,18725.31
2019-12-13,7080.29,15624.21
2019-12-14,7132.39,15972.7
2019-12-15,6897.33,39619.58
2019-12-16,6635.84,46023.51
2019-12-17,7294.53,71573.09
2019-12-18,7159.26,34799.1
2019-12-19,7203.41,23556.25
2019-12-20,7159.47,12101.12
2019-12-21,7517.58,27325.26
2019-12-22,7326.6,44770.93
2019-12-23,7260.91,27770.75
2019-12-24,7202.72,15012.21
2019-12-25,7207.23,23254.3
2019-12-26,7253.82,25489.38
2019-12-27,7316.23,14542.71
2019-12-28,7399.49,18230.94
2019-12-29,7234.44,23030.92
2019-12-30,7183.88,19424.26
2019-12-31,7189.94,11872.0
2020-01-01,6965.72,26531.32
2020-01-02,7339.7,51975.01
2020-01-03,7357.5,22083.57
2020-01-04,7359.96,24084.13
2020-01-05,7762.69,46443.66
2020-01-06,8160.36,75423.75
2020-01-07,8045.15,85087.59
2020-01-08,7817.35,40045.64
2020-01-09,8190.31,55534.09
2020-01-10,8024.58,30734.63
2020-01-11,8181.49,17525.61
2020-01-12,8106.56,22746.0
2020-01-13,8820.95,89444.78
2020-01-14,8813.21,50394.79
2020-01-15,8719.63,33539.82
2020-01-16,8894.83,48787.4
2020-01-17,8909.28,19872.9
2020-01-18,8702.59,47750.9
2020-01-19,8634.03,21888.47
2020-01-20,8724.84,22731.19
2020-01-21,8667.26,17278.13
2020-01-22,8394.28,38348.08
2020-01-23,8431.78,27811.03
2020-01-24,8345.88,14296.82
2020-01-25,8602.37,22444.54
2020-01-26,8898.94,37524.75
2020-01-27,9391.97,51850.54
2020-01-28,9286.18,36978.22
2020-01-29,9501.38,45852.79
2020-01-30,9342.23,31334.26
2020-01-31,9384.45,14778.25
2020-02-01,9334.25,24059.37
2020-02-02,9288.96,33363.87
2020-02-03,9171.98,26614.92
2020-02-04,9611.42,47150.99
2020-02-05,9755.84,42264.62
2020-02-06,9808.36,25549.21
2020-02-07,9898.25,24889.03
2020-02-08,10157.78,33829.57
2020-02-09,9858.03,40941.28
2020-02-10,10269.43,49240.73
2020-02-11,10347.93,43484.9
2020-02-12,10233.32,49389.81
2020-02-13,10360.37,28984.69
2020-02-14,9905.43,29878.88
2020-02-15,9925.51,27579.54
2020-02-16,9702.48,37157.31
2020-02-17,10182.6,38551.14
2020-02-18,9602.43,47506.68
2020-02-19,9608.8,36843.12
2020-02-20,9697.86,30286.18
2020-02-21,9671.46,12206.36
2020-02-22,9977.39,23058.71
2020-02-23,9664.21,34044.18
2020-02-24,9316.18,34827.75
2020-02-25,8793.5,65447.95
2020-02-26,8821.5,47005.39
2020-02-27,8719.29,41600.5
2020-02-28,8545.45,16806.37
2020-02-29,8549.38,25550.31
2020-03-01,8919.74,33004.6
2020-03-02,8765.68,28648.83
2020-03-03,8773.78,22115.34
2020-03-04,9074.82,33760.74
2020-03-05,9160.39,21090.1
2020-03-06,8903.72,20669.17
2020-03-07,8057.67,63231.33
2020-03-08,7944.4,86700.45
2020-03-09,7894.66,53646.28
2020-03-10,7945.36,47596.23
2020-03-11,4916.78,286243.45
2020-03-12,5632.58,319316.54
2020-03-13,5181.77,87978.27
2020-03-14,5357.02,105160.64
2020-03-15,5045.0,203116.86
2020-03-16,5337.66,116314.49
2020-03-17,5413.06,109210.96
2020-03-18,6184.88,147007.71
2020-03-19,6206.44,148232.44
2020-03-20,6195.43,67262.29
2020-03-21,5828.15,75451.24
2020-03-22,6503.53,107692.99
2020-03-23,6767.18,105151.69
2020-03-24,6694.21,84721.04
2020-03-25,6757.95,45203.7
2020-03-26,6382.8,57134.12
2020-03-27,6252.49,60814.06
2020-03-28,5882.2,47232.21
2020-03-29,6403.31,70623.69
2020-03-30,6423.61,36169.65
2020-03-31,6663.63,59228.61
2020-04-01,6804.42,93059.32
2020-04-02,6743.68,55578.32
2020-04-03,6875.95,33774.99
2020-04-04,6781.64,26776.41
2020-04-05,7347.22,78676.82
2020-04-06,7201.57,70648.16
2020-04-07,7367.37,60952.77
2020-04-08,7294.55,44071.93
2020-04-09,6876.49,63355.47
2020-04-10,6887.6,24917.32
2020-04-11,6913.76,42382.58
2020-04-12,6859.43,63091.4
2020-04-13,6879.44,44630.96
2020-04-14,6629.54,49708.81
2020-04-15,7114.55,98809.08
2020-04-16,7037.12,45840.75
